countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,1,0,0,0.039306641,0.115966797,0.899902344,30:10.8,00:00.4
2,2,0,0,0.038085938,0.108886719,0.877685547,30:10.8,00:00.4
3,3,0,0,0.041259766,0.081298828,0.880126953,30:10.9,00:00.5
4,4,0,0,0.035400391,0.089355469,0.901367188,30:10.9,00:00.6
5,5,0,0,0.052001953,0.110351563,0.895263672,30:11.0,00:00.7
6,6,0,0,0.017822266,0.083251953,0.903808594,30:11.1,00:00.7
7,7,0,0,0.008544922,0.081787109,0.891845703,30:11.2,00:00.8
8,8,0,0,0.028076172,0.083496094,0.913818359,30:11.2,00:00.9
9,9,0,0,0.03515625,0.118896484,0.966064453,30:11.3,00:00.9
10,10,19.2846875,-99.14062517,0.046386719,0.03125,0.905761719,30:11.8,00:01.4
11,11,19.2846875,-99.14062517,0.092041016,0.046386719,0.852050781,30:11.8,00:01.4
12,12,19.2846875,-99.14062517,0.025878906,0.058105469,0.878662109,30:11.9,00:01.5
13,13,19.2846875,-99.14062517,0.094482422,0.0546875,0.868896484,30:11.9,00:01.6
14,14,19.2846875,-99.14062517,0.107666016,0.037841797,0.98046875,30:12.0,00:01.7
15,15,19.2846875,-99.14062517,0.124267578,0.049316406,0.966064453,30:12.1,00:01.7
16,16,19.2846875,-99.14062517,0.100341797,0.088623047,0.919921875,30:12.2,00:01.8
17,17,19.2846875,-99.14062517,0.155273438,0.111328125,0.877441406,30:12.2,00:01.9
18,18,19.2846875,-99.14062517,0.191894531,0.120117188,0.861816406,30:12.3,00:01.9
19,19,19.284673,-99.14063883,0.196289063,0.108154297,0.898925781,30:12.8,00:02.4
20,20,19.284673,-99.14063883,0.161865234,0.102050781,0.918945313,30:12.8,00:02.4
21,21,19.284673,-99.14063883,0.212646484,0.057617188,0.819824219,30:12.9,00:02.5
22,22,19.284673,-99.14063883,0.135253906,0.090087891,0.869384766,30:13.0,00:02.6
23,23,19.284673,-99.14063883,0.178222656,0.098632813,0.830322266,30:13.0,00:02.7
24,24,19.284673,-99.14063883,0.142822266,0.113037109,0.920654297,30:13.1,00:02.7
25,25,19.284673,-99.14063883,0.184570313,0.101806641,0.908691406,30:13.2,00:02.8
26,26,19.284673,-99.14063883,0.136474609,0.171875,0.905761719,30:14.9,00:04.5
27,27,19.284673,-99.14063883,0.117431641,0.178955078,0.887451172,30:15.0,00:04.6
28,28,19.28465733,-99.14065433,0.082519531,0.158935547,0.938720703,30:15.0,00:04.6
29,29,19.28465733,-99.14065433,0.053710938,0.249267578,0.921142578,30:15.1,00:04.7
30,30,19.28465733,-99.14065433,0.059082031,0.244384766,0.862060547,30:15.1,00:04.8
31,31,19.28465733,-99.14065433,0.059082031,0.263183594,0.922851563,30:15.1,00:04.8
32,32,19.28465733,-99.14065433,0.063720703,0.263916016,0.906494141,30:15.1,00:04.8
33,33,19.28465733,-99.14065433,0.089111328,0.2890625,0.899169922,30:15.2,00:04.9
34,34,19.28465733,-99.14065433,0.141113281,0.268554688,0.883789063,30:15.2,00:04.9
35,35,19.28465733,-99.14065433,0.087890625,0.298828125,0.940429688,30:15.4,00:05.0
36,36,19.28465733,-99.14065433,0.087646484,0.263671875,0.920654297,30:15.4,00:05.0
37,37,19.284646,-99.14066233,0.045166016,0.263916016,0.920166016,30:15.5,00:05.1
38,38,19.284646,-99.14066233,0.032226563,0.260498047,0.918701172,30:15.5,00:05.1
39,39,19.284646,-99.14066233,0.018310547,0.257324219,0.888671875,30:15.5,00:05.2
40,40,19.284646,-99.14066233,0.037109375,0.254394531,0.856689453,30:15.6,00:05.3
41,41,19.284646,-99.14066233,0.046630859,0.274658203,0.875,30:15.7,00:05.3
42,42,19.284646,-99.14066233,0.065185547,0.282226563,0.912597656,30:15.7,00:05.3
43,43,19.284646,-99.14066233,0.083740234,0.262939453,0.867431641,30:15.8,00:05.4
44,44,19.284646,-99.14066233,0.066650391,0.261474609,0.860839844,30:15.8,00:05.5
45,45,19.284646,-99.14066233,0.093505859,0.292480469,0.934814453,30:15.8,00:05.5
46,46,19.28463983,-99.14066333,0.079833984,0.261474609,0.903320313,30:15.9,00:05.5
47,47,19.28463983,-99.14066333,0.090087891,0.2734375,0.894287109,30:15.9,00:05.5
48,48,19.28463983,-99.14066333,0.067138672,0.260986328,0.906494141,30:15.9,00:05.5
49,49,19.28463983,-99.14066333,0.078125,0.264648438,0.898193359,30:15.9,00:05.6
50,50,19.28463983,-99.14066333,0.083740234,0.246826172,0.956787109,30:16.0,00:05.7
