countOBU,countRSU,latitude,longitude,Ax,Ay,Az,datetime,timeFromBeginning
1,49,19.478862,-99.2375073333,-0.505615234375,-0.158447265625,0.74267578125,2021-02-03 19:31:18.949125,0:00:01.529146
2,50,19.4788591667,-99.2375101667,-0.508544921875,-0.165771484375,0.740478515625,2021-02-03 19:31:19.001800,0:00:01.581821
3,51,19.4788593333,-99.2375146667,-0.494873046875,-0.156494140625,0.745849609375,2021-02-03 19:31:20.001539,0:00:02.581560
4,52,19.4788565,-99.2375146667,-0.524658203125,-0.161865234375,0.721435546875,2021-02-03 19:31:20.998746,0:00:03.578768
